ID,JSON Key,Content Group,Context,Canonical Unit,English Source,Current Kannada,Claude Suggested Kannada,Reviewer Corrected Kannada,Status,Issue Types,Do Not Translate,Official Facts,Reviewer Notes,Source File,Source Line/Location
111,role_holders.hod_by_department.mechanical.hod_name,Role Holders / Trustees / HOD,Name/title,mechanical.hod,Dr. Raghavendra S,Dr. Raghavendra S,Dr. Raghavendra S,,Do Not Translate,Exact English fallback (untranslated); English-only value (no Kannada),,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:239 kn:416 | role_holders.hod_by_department.mechanical.hod_name
112,role_holders.hod_by_department.mechanical.hod_title,Role Holders / Trustees / HOD,Name/title,mechanical.hod,"Professor & HOD, Mechanical Engineering",ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:240 kn:417 | role_holders.hod_by_department.mechanical.hod_title
113,role_holders.hod_by_department.mechanical.hod_bio,Role Holders / Trustees / HOD,Display sentence,mechanical.hod,"Dr. Raghavendra S heads the Mechanical Engineering department, focusing on design, manufacturing, and thermal engineering. He has strong academic and research exposure and supports project-based learning, labs, and industry interaction. His interests include advanced manufacturing and applied mechanics.",,,,Blocked – Missing Source,Missing Kannada value at this JSON path,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:246 kn:- | role_holders.hod_by_department.mechanical.hod_bio
114,role_holders.hod_by_department.mba.department_name,Role Holders / Trustees / HOD,Display sentence,mba.hod,Master of Business Administration,ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್,ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್,,Needs Native Review,,,,,kn.json / en.json,en:249 kn:224 | role_holders.hod_by_department.mba.department_name
115,role_holders.hod_by_department.mba.hod_name,Role Holders / Trustees / HOD,Name/title,mba.hod,Dr. Jogish D,Dr. Jogish D,Dr. Jogish D,,Do Not Translate,Exact English fallback (untranslated); English-only value (no Kannada),,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:250 kn:427 | role_holders.hod_by_department.mba.hod_name
116,role_holders.hod_by_department.mba.hod_title,Role Holders / Trustees / HOD,Name/title,mba.hod,"Professor & HOD, Master of Business Administration (MBA)",ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್ ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,ಮಾಸ್ಟರ್ ಆಫ್ ಬಿಸಿನೆಸ್ ಅಡ್ಮಿನಿಸ್ಟ್ರೇಷನ್ ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,,Needs Native Review,,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:251 kn:428 | role_holders.hod_by_department.mba.hod_title
117,role_holders.hod_by_department.mba.hod_bio,Role Holders / Trustees / HOD,Display sentence,mba.hod,"Dr. Jogish D leads the MBA department, integrating management education with practical exposure to industry practices. He has experience in teaching, training, and consultancy, guiding students towards careers in business, analytics, and entrepreneurship. His interests span marketing, strategy, and organizational development.",,,,Blocked – Missing Source,Missing Kannada value at this JSON path,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:257 kn:- | role_holders.hod_by_department.mba.hod_bio
118,role_holders.hod_by_department.mathematics.department_name,Role Holders / Trustees / HOD,Display sentence,mathematics.hod,Mathematics,Mathematics,Mathematics,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | role_holders.hod_by_department.mathematics.department_name
119,role_holders.hod_by_department.mathematics.hod_name,Role Holders / Trustees / HOD,Name/title,mathematics.hod,Dr. Arun Kumar R,Dr. Arun Kumar R,Dr. Arun Kumar R,,Do Not Translate,Exact English fallback (untranslated); English-only value (no Kannada),,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:261 kn:438 | role_holders.hod_by_department.mathematics.hod_name
120,role_holders.hod_by_department.mathematics.hod_title,Role Holders / Trustees / HOD,Name/title,mathematics.hod,"Professor & HOD, Mathematics",Mathematics ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,Mathematics ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:262 kn:439 | role_holders.hod_by_department.mathematics.hod_title
121,role_holders.hod_by_department.mathematics.hod_bio,Role Holders / Trustees / HOD,Display sentence,mathematics.hod,"Dr. Arun Kumar R heads the Mathematics department, ensuring strong mathematical foundations for all engineering disciplines. He has extensive teaching experience and focuses on applied mathematics relevant to engineering and data analysis. His work supports advanced courses and research that rely on rigorous quantitative skills.",,,,Blocked – Missing Source,Missing Kannada value at this JSON path,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:268 kn:- | role_holders.hod_by_department.mathematics.hod_bio
122,role_holders.hod_by_department.physics.department_name,Role Holders / Trustees / HOD,Display sentence,physics.hod,Physics,Physics,Physics,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | role_holders.hod_by_department.physics.department_name
123,role_holders.hod_by_department.physics.hod_name,Role Holders / Trustees / HOD,Name/title,physics.hod,Dr. Shankar P,Dr. Shankar P,Dr. Shankar P,,Do Not Translate,Exact English fallback (untranslated); English-only value (no Kannada),,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:272 kn:449 | role_holders.hod_by_department.physics.hod_name
124,role_holders.hod_by_department.physics.hod_title,Role Holders / Trustees / HOD,Name/title,physics.hod,"Professor & HOD, Physics",Physics ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,Physics ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:273 kn:450 | role_holders.hod_by_department.physics.hod_title
125,role_holders.hod_by_department.physics.hod_bio,Role Holders / Trustees / HOD,Display sentence,physics.hod,"Dr. Shankar P leads the Physics department, concentrating on engineering physics and fundamental science education. He emphasizes conceptual clarity and experimental skills through well-designed laboratory work. His interests include materials, electronics-related physics, and applied physical sciences.",,,,Blocked – Missing Source,Missing Kannada value at this JSON path,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:277 kn:- | role_holders.hod_by_department.physics.hod_bio
126,role_holders.hod_by_department.chemistry.department_name,Role Holders / Trustees / HOD,Display sentence,chemistry.hod,Chemistry,Chemistry,Chemistry,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | role_holders.hod_by_department.chemistry.department_name
127,role_holders.hod_by_department.chemistry.hod_name,Role Holders / Trustees / HOD,Name/title,chemistry.hod,Dr. Bhagya N P,Dr. Bhagya N P,Dr. Bhagya N P,,Do Not Translate,Exact English fallback (untranslated); English-only value (no Kannada),,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:281 kn:458 | role_holders.hod_by_department.chemistry.hod_name
128,role_holders.hod_by_department.chemistry.hod_title,Role Holders / Trustees / HOD,Name/title,chemistry.hod,"Professor & HOD, Chemistry",Chemistry ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,Chemistry ವಿಭಾಗದ ಮುಖ್ಯಸ್ಥರು,,Needs Native Review,,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:282 kn:459 | role_holders.hod_by_department.chemistry.hod_title
129,role_holders.hod_by_department.chemistry.hod_bio,Role Holders / Trustees / HOD,Display sentence,chemistry.hod,"Dr. Bhagya N P heads the Chemistry department, teaching engineering chemistry and its applications in materials and environmental domains. She has strong academic experience and promotes lab-based learning to connect theory with practice. Her interests lie in applied chemistry relevant to engineering and industry processes.",,,,Blocked – Missing Source,Missing Kannada value at this JSON path,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:286 kn:- | role_holders.hod_by_department.chemistry.hod_bio
130,admissions_and_fees.eligibility,Admissions & Fees,Display sentence,,"10+2 with 45% aggregate [cite: 344] Physics and Mathematics [cite: 345] Chemistry, Biotechnology, Biology, Computer Science, or Electronics [cite: 346] 45% aggregate marks [cite: 348] SC/ST/Category-1/OBC: 40% aggregate marks (with relaxation) [cite: 349] MBA: Graduation with minimum 50% aggregate [cite: 287]","10+2 ರಲ್ಲಿ ಒಟ್ಟು 45% ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ಗಣಿತ ರಸಾಯನಶಾಸ್ತ್ರ, ಜೈವ ತಂತ್ರಜ್ಞಾನ, ಜೀವಶಾಸ್ತ್ರ, ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಅಥವಾ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಸಾಮಾನ್ಯ: 45% ಒಟ್ಟು ಅಂಕಗಳು SC/ST/Category-1/OBC: 40% ಒಟ್ಟು ಅಂಕಗಳು (ಸಡಲಿಕೆಯೊಂದಿಗೆ) MBA: ಕನಿಷ್ಠ 50% ಒಟ್ಟು ಯೋಗ್ಯತೆಯೊಂದಿಗೆ ಪದವಿ","10+2 ರಲ್ಲಿ ಒಟ್ಟು 45% ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ಗಣಿತ ರಸಾಯನಶಾಸ್ತ್ರ, ಜೈವ ತಂತ್ರಜ್ಞಾನ, ಜೀವಶಾಸ್ತ್ರ, ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಅಥವಾ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್ ಸಾಮಾನ್ಯ: 45% ಒಟ್ಟು ಅಂಕಗಳು SC/ST/Category-1/OBC: 40% ಒಟ್ಟು ಅಂಕಗಳು (ಸಡಲಿಕೆಯೊಂದಿಗೆ) MBA: ಕನಿಷ್ಠ 50% ಒಟ್ಟು ಯೋಗ್ಯತೆಯೊಂದಿಗೆ ಪದವಿ",,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:82 | admissions_and_fees.eligibility
131,admissions_and_fees.entrance_exams[0],Admissions & Fees,List item,,KCET,KCET,KCET,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:- kn:- | admissions_and_fees.entrance_exams[0]
132,admissions_and_fees.entrance_exams[1],Admissions & Fees,List item,,COMEDK,COMEDK,COMEDK,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:- kn:- | admissions_and_fees.entrance_exams[1]
133,admissions_and_fees.entrance_exams[2],Admissions & Fees,List item,,Management,Management,Management,,Needs Native Review,Exact English fallback (untranslated); English-only value (no Kannada),,,,kn.json / en.json,en:- kn:- | admissions_and_fees.entrance_exams[2]
134,admissions_and_fees.entrance_exams[3],Admissions & Fees,List item,,KCET [cite: 351],KCET (ರಾಜ್ಯ ಕೌನ್ಸೆಲಿಂಗ್),KCET (ರಾಜ್ಯ ಕೌನ್ಸೆಲಿಂಗ್),,Needs Native Review,Citation markers in English source,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:301 kn:87 | admissions_and_fees.entrance_exams[3]
135,admissions_and_fees.entrance_exams[4],Admissions & Fees,List item,,COMEDK [cite: 352],COMEDK (ಖಾಸಗಿ/ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಪ್ರವೇಶ),COMEDK (ಖಾಸಗಿ/ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಪ್ರವೇಶ),,Needs Native Review,Citation markers in English source,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:302 kn:88 | admissions_and_fees.entrance_exams[4]
136,admissions_and_fees.entrance_exams[5],Admissions & Fees,List item,,Management Quota [cite: 353],ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಕೋಟಾ (ನೇರ ಪ್ರವೇಶ ಲಭ್ಯ),ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಕೋಟಾ (ನೇರ ಪ್ರವೇಶ ಲಭ್ಯ),,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:303 kn:89 | admissions_and_fees.entrance_exams[5]
137,admissions_and_fees.fee_structures.ug_kcet,Admissions & Fees,Display sentence,,As per Government/KEA norms. Please contact Admission Block for the latest official KCET fee.,ಸರ್ಕಾರಿ/KEA ಮಾನದಂಡಗಳಿಗೆ ಅನುಗುಣವಾಗಿ. ಇತ್ತೀಚಿನ ಅಧಿಕೃತ KCET ಶುಲ್ಕಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ಪ್ರವೇಶ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,ಸರ್ಕಾರಿ/KEA ಮಾನದಂಡಗಳಿಗೆ ಅನುಗುಣವಾಗಿ. ಇತ್ತೀಚಿನ ಅಧಿಕೃತ KCET ಶುಲ್ಕಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ಪ್ರವೇಶ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.,,Needs Native Review,,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D",,,kn.json / en.json,en:306 kn:92 | admissions_and_fees.fee_structures.ug_kcet
138,admissions_and_fees.fee_structures.ug_management,Admissions & Fees,Display sentence,,"{'CSE': '₹3,25,000 [cite: 365]', 'CSE (AI & ML)': '₹3,25,000 [cite: 365]', 'CSE (Cyber Security)': '₹3,25,000 [cite: 365]', 'CSE(Data Science)': '₹3,00,000 [cite: 365]', 'CS(Business System)': '₹2,75,000 [cite: 365]', 'ECE': '₹2,50,000 [cite: 365]', 'Civil Engineering': '₹1,25,000 [cite: 365]', 'Mechanical Engineering': '₹1,25,000 [cite: 365]'}","{'CSE': '₹3,25,000', 'CSE (AI & ML)': '₹3,25,000', 'CSE (Cyber Security)': '₹3,25,000', 'CSE(Data Science)': '₹3,00,000', 'CS(Business System)': '₹2,75,000', 'ECE': '₹2,50,000', 'Civil Engineering': '₹1,25,000', 'Mechanical Engineering': '₹1,25,000'}","{'CSE': '₹3,25,000', 'CSE (AI & ML)': '₹3,25,000', 'CSE (Cyber Security)': '₹3,25,000', 'CSE(Data Science)': '₹3,00,000', 'CS(Business System)': '₹2,75,000', 'ECE': '₹2,50,000', 'Civil Engineering': '₹1,25,000', 'Mechanical Engineering': '₹1,25,000'}",,Needs Native Review,Citation markers in English source; Raw dictionary string stored as plain string; Possibly missing terminal punctuation; English-only value (no Kannada),"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:307 kn:93 | admissions_and_fees.fee_structures.ug_management
139,admissions_and_fees.fee_structures.pg_mba,Admissions & Fees,Display sentence,,"{'General MBA': '₹1,55,000-3,10,000 (Total for 2 years) [cite: 383]', 'Specializations (Finance, HR, IT, Marketing)': '₹1,40,000 (Total for 2 years) [cite: 383]'}","{'General MBA': '₹1,55,000-3,10,000 (2 ವರ್ಷಗಳ ಒಟ್ಟು)', 'Specializations (Finance, HR, IT, Marketing)': '₹1,40,000 (2 ವರ್ಷಗಳ ಒಟ್ಟು)'}","{'General MBA': '₹1,55,000-3,10,000 (2 ವರ್ಷಗಳ ಒಟ್ಟು)', 'Specializations (Finance, HR, IT, Marketing)': '₹1,40,000 (2 ವರ್ಷಗಳ ಒಟ್ಟು)'}",,Needs Native Review,Citation markers in English source; Raw dictionary string stored as plain string; Possibly missing terminal punctuation,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:308 kn:94 | admissions_and_fees.fee_structures.pg_mba
140,admissions_and_fees.fee_structures.additional_fees,Admissions & Fees,Display sentence,,"Hostel, examination, and other statutory fees may apply in addition to tuition. Visit the Admission Block for the complete schedule and payment options.","ವಸತಿ, ಪರೀಕ್ಷೆ ಮತ್ತು ಇತರ ವೈಧಾನಿಕ ಶುಲ್ಕಗಳು ಟ್ಯೂಷನ್ ಹೆಚ್ಚುವರಿಯಾಗಿ ಅನ್ವಯವಾಗಬಹುದು. ಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿಗಾಗಿ ಪ್ರವೇಶ ವಿಭಾಗಕ್ಕೆ ಭೇಟಿ ನೀಡಿ.","ಶಿಕ್ಷಣ ಶುಲ್ಕದ ಜೊತೆಗೆ ವಸತಿ, ಪರೀಕ್ಷೆ ಮತ್ತು ಇತರ ವಿಧಿಬದ್ಧ ಶುಲ್ಕಗಳು ಅನ್ವಯವಾಗಬಹುದು. ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ ಮತ್ತು ಪಾವತಿ ಆಯ್ಕೆಗಳಿಗಾಗಿ ಪ್ರವೇಶ ವಿಭಾಗವನ್ನು ಸಂಪರ್ಕಿಸಿ.",,AI Checked,,,,,kn.json / en.json,en:309 kn:95 | admissions_and_fees.fee_structures.additional_fees
141,admissions_and_fees.scholarships,Admissions & Fees,Display sentence,,"SSP - Post-Metric Scholarship for SC/ST Students [cite: 398] Fee Reimbursement for SC/ST Students [cite: 399] Fee Concession for Category I, II, and III Students [cite: 400] National Scholarship Portal (NSP) - Minority Religion Scholarship [cite: 401] Defence Scholarship [cite: 402]","SSP — SC/ST ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಪೋಸ್ಟ್-ಮೆಟ್ರಿಕ್ ವಿದ್ಯಾರ್ಥಿವೇತನ; SC/ST ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಶುಲ್ಕ ಮರುಪಾವತಿ; ವರ್ಗ I, II ಮತ್ತು III ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಶುಲ್ಕ ರಿಯಾಯಿತಿ; National Scholarship Portal (NSP) — ಅಲ್ಪಸಂಖ್ಯಾತ ಧರ್ಮ ವಿದ್ಯಾರ್ಥಿವೇತನ; ರಕ್ಷಣಾ ವಿದ್ಯಾರ್ಥಿವೇತನ","SSP — SC/ST ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಪೋಸ್ಟ್-ಮೆಟ್ರಿಕ್ ವಿದ್ಯಾರ್ಥಿವೇತನ; SC/ST ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಶುಲ್ಕ ಮರುಪಾವತಿ; ವರ್ಗ I, II ಮತ್ತು III ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಶುಲ್ಕ ರಿಯಾಯಿತಿ; National Scholarship Portal (NSP) — ಅಲ್ಪಸಂಖ್ಯಾತ ಧರ್ಮ ವಿದ್ಯಾರ್ಥಿವೇತನ; ರಕ್ಷಣಾ ವಿದ್ಯಾರ್ಥಿವೇತನ",,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:311 kn:97 | admissions_and_fees.scholarships
142,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.qualification,Admissions & Fees,Display sentence,,10+2 with 45% aggregate [cite: 344],10+2 ರಲ್ಲಿ ಒಟ್ಟು 45%,10+2 ರಲ್ಲಿ ಒಟ್ಟು 45%,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:82 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.qualification
143,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.compulsory_subjects,Admissions & Fees,Display sentence,,Physics and Mathematics [cite: 345],ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ಗಣಿತ,ಭೌತಶಾಸ್ತ್ರ ಮತ್ತು ಗಣಿತ,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:82 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.compulsory_subjects
144,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.optional_subjects,Admissions & Fees,Display sentence,,"Chemistry, Biotechnology, Biology, Computer Science, or Electronics [cite: 346]","ರಸಾಯನಶಾಸ್ತ್ರ, ಜೈವ ತಂತ್ರಜ್ಞಾನ, ಜೀವಶಾಸ್ತ್ರ, ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಅಥವಾ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್","ರಸಾಯನಶಾಸ್ತ್ರ, ಜೈವ ತಂತ್ರಜ್ಞಾನ, ಜೀವಶಾಸ್ತ್ರ, ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಅಥವಾ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್",,Needs Native Review,Citation markers in English source; Possibly missing terminal punctuation,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:82 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.optional_subjects
145,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.requirements_general,Admissions & Fees,Display sentence,,45% aggregate marks [cite: 348],ಸಾಮಾನ್ಯ ವರ್ಗ: ಒಟ್ಟು 45% ಅಂಕಗಳು,ಸಾಮಾನ್ಯ ವರ್ಗ: ಒಟ್ಟು 45% ಅಂಕಗಳು,,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:104 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.requirements_general
146,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.requirements_reserved,Admissions & Fees,Display sentence,,SC/ST/Category-1/OBC: 40% aggregate marks (with relaxation) [cite: 349],SC/ST/Category-1/OBC: ಒಟ್ಟು 40% ಅಂಕಗಳು (ಸಡಲಿಕೆಯೊಂದಿಗೆ),SC/ST/Category-1/OBC: ಒಟ್ಟು 40% ಅಂಕಗಳು (ಸಡಲಿಕೆಯೊಂದಿಗೆ),,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:296 kn:105 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.requirements_reserved
147,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[0],Admissions & Fees,List item,,KCET [cite: 351],KCET (ರಾಜ್ಯ ಕೌನ್ಸೆಲಿಂಗ್),KCET (ರಾಜ್ಯ ಕೌನ್ಸೆಲಿಂಗ್),,Needs Native Review,Citation markers in English source,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:301 kn:87 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[0]
148,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[1],Admissions & Fees,List item,,COMEDK [cite: 352],COMEDK (ಖಾಸಗಿ/ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಪ್ರವೇಶ),COMEDK (ಖಾಸಗಿ/ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಪ್ರವೇಶ),,Needs Native Review,Citation markers in English source,"SVIT, VTU, CSE, AIML, ISE, ECE, MBA, KCET, KEA, COMEDK, CAT, MAT, XAT, CMAT, KMAT, PGCET, AICTE, NAAC, NBA, NSS, NCC, TCS, Infosys, Amazon, SSP, NSP, IT, HR, IoT, VLSI, NEP-2020, Ph.D., R&D","Numbers, names and titles must remain unchanged",,kn.json / en.json,en:302 kn:88 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[1]
149,admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[2],Admissions & Fees,List item,,Management Quota [cite: 353],ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಕೋಟಾ (ನೇರ ಪ್ರವೇಶ ಲಭ್ಯ),ಮ್ಯಾನೇಜ್‌ಮೆಂಟ್ ಕೋಟಾ (ನೇರ ಪ್ರವೇಶ ಲಭ್ಯ),,Needs Native Review,Citation markers in English source,,"Numbers, names and titles must remain unchanged",,kn.json / en.json,en:303 kn:89 | admissions_and_fees.additional_details.admission_and_eligibility.be_programs.entrance_exams[2]
